地  区,1990年,2000年,2010年,2018年,2015年
 安  徽,69.48,71.85,75.08,75.80 ,73.40
 北  京,72.86,76.10,80.18,80.18 ,75.90
 福  建,68.57,72.55,75.76,75.76 ,74.40
 甘  肃,67.24,67.47,72.23,72.23 ,68.50
 广  东,72.52,73.27,76.49,76.49 ,72.00
 广  西,68.72,71.29,75.11,75.11 ,71.50
 贵  州,64.29,65.96,71.10,71.10 ,68.80
 海  南,70.01,72.92,76.30,76.30 ,69.70
 河  北,70.35,72.54,74.97,74.97 ,69.90
 河  南,70.15,71.54,74.57,74.57 ,72.80
 黑龙江,66.97,72.37,75.98,75.98 ,72.10
 湖  北,67.25,71.08,74.87,74.87 ,75.90
 湖  南,66.93,70.66,74.70,74.70 ,72.40
 吉  林,67.95,73.10,76.18,76.18 ,74.00
 江  苏,71.37,73.91,76.63,76.63 ,75.30
 江  西,66.11,68.95,74.33,74.33 ,69.80
 辽  宁,70.22,73.34,76.38,76.38 ,75.20
 内蒙古,65.68,69.87,74.44,74.44 ,73.80
 宁  夏,66.94,70.17,73.38,73.38 ,69.00
 青  海,60.57,66.03,69.96,69.96 ,69.70
 山  东,70.57,73.92,76.46,76.46 ,72.30
 山  西,68.97,71.65,74.92,74.92 ,71.00
 陕  西,67.40,70.07,74.68,74.68 ,71.10
 上  海,74.90,78.14,80.26,80.26 ,74.80
 四  川,66.33,71.20,74.75,74.75 ,75.00
 台  湾,,,,,75.00
 天  津,72.32,74.91,78.89,78.89 ,75.40
 西  藏,59.64,64.37,68.17,68.17 ,67.80
 新  疆,62.59,67.41,72.35,72.35 ,69.20
 云  南,63.49,65.49,69.54,69.54 ,69.60
 浙  江,71.78,74.70,77.73,77.73 ,69.80
 重  庆,,71.73,75.70,75.70 ,73.40
